Country,Year,Expenditure
Greece,1992,:
Greece,1993,:
Greece,1994,:
Greece,1995,46.6
Greece,1996,46.1
Greece,1997,45.1
Greece,1998,46.7
Greece,1999,48.0
Greece,2000,48.2
Greece,2001,47.5
Greece,2002,47.1
Greece,2003,47.9
Greece,2004,48.8
Greece,2005,46.6
Greece,2006,45.9
Greece,2007,47.8
Greece,2008,51.5
Greece,2009,54.8
Greece,2010,53.1
Greece,2011,55.1
Greece,2012,57.9
Greece,2013,63.9
Greece,2014,51.5
Greece,2015,54.8
Greece,2016,50.3
Greece,2017,48.6
Greece,2018,48.6
Greece,2019,47.7
Greece,2020,59.3
Greece,2021,56.7
Greece,2022,52.9
Greece,2023,49.5
Hungary,1975,:
Hungary,1976,:
Hungary,1977,:
Hungary,1978,:
Hungary,1979,:
Hungary,1980,:
Hungary,1981,:
Hungary,1982,:
Hungary,1983,:
Hungary,1984,:
Hungary,1985,:
Hungary,1986,:
Hungary,1987,:
Hungary,1988,:
Hungary,1989,:
Hungary,1990,:
Hungary,1991,:
Hungary,1992,:
Hungary,1993,:
Hungary,1994,:
Hungary,1995,55
Hungary,1996,50.9
Hungary,1997,49.5
Hungary,1998,50.7
Hungary,1999,48.9
Hungary,2000,47.3
Hungary,2001,47.2
Hungary,2002,51.0
Hungary,2003,49.2
Hungary,2004,48.8
Hungary,2005,49.4
Hungary,2006,51.4
Hungary,2007,49.9
Hungary,2008,48.8
Hungary,2009,50.7
Hungary,2010,48.9
Hungary,2011,49.1
Hungary,2012,49.2
Hungary,2013,50.1
Hungary,2014,50.0
Hungary,2015,50.4
Hungary,2016,46.7
Hungary,2017,46.6
Hungary,2018,45.9
Hungary,2019,45.8
Hungary,2020,51.0
Hungary,2021,48.1
Hungary,2022,48.7
Hungary,2023,49.5
Iceland,1975,:
Iceland,1976,:
Iceland,1977,:
Iceland,1978,:
Iceland,1979,:
Iceland,1980,:
Iceland,1981,:
Iceland,1982,:
Iceland,1983,:
Iceland,1984,:
Iceland,1985,:
Iceland,1986,:
Iceland,1987,:
Iceland,1988,:
Iceland,1989,:
Iceland,1990,:
Iceland,1991,:
Iceland,1992,:
Iceland,1993,:
Iceland,1994,:
Iceland,1995,:
Iceland,1996,:
Iceland,1997,:
Iceland,1998,40.9
Iceland,1999,45.4
Iceland,2000,44.8
Iceland,2001,47.4
Iceland,2002,45.5
Iceland,2003,47.8
Iceland,2004,46.7
Iceland,2005,45.0
Iceland,2006,44.8
Iceland,2007,44.7
Iceland,2008,63.4
Iceland,2009,53.6
Iceland,2010,48.8
Iceland,2011,50.5
Iceland,2012,47.7
Iceland,2013,46.0
Iceland,2014,45.8
Iceland,2015,43.5
Iceland,2016,46.4
Iceland,2017,44.4
Iceland,2018,43.8
Iceland,2019,43.6
Iceland,2020,51.1
Iceland,2021,49.4
Iceland,2022,46.6
Iceland,2023,45.5
Ireland,1975,:
Ireland,1976,:
Ireland,1977,:
Ireland,1978,:
Ireland,1979,:
Ireland,1980,:
Ireland,1981,:
Ireland,1982,:
Ireland,1983,:
Ireland,1984,:
Ireland,1985,:
Ireland,1986,:
Ireland,1987,:
Ireland,1988,:
Ireland,1989,:
Ireland,1990,:
Ireland,1991,:
Ireland,1992,:
Ireland,1993,:
Ireland,1994,:
Ireland,1995,40.4
Ireland,1996,38.6
Ireland,1997,36.1
Ireland,1998,34.2
Ireland,1999,32.5
Ireland,2000,30.6
Ireland,2001,32.2
Ireland,2002,32.9
Ireland,2003,32.7
Ireland,2004,32.8
Ireland,2005,33.0
Ireland,2006,33.6
Ireland,2007,35.6
Ireland,2008,41.6
Ireland,2009,46.9
Ireland,2010,64.9
Ireland,2011,46.8
Ireland,2012,42.2
Ireland,2013,39.8
Ireland,2014,36.5
Ireland,2015,28.0
Ireland,2016,27.5
Ireland,2017,25.3
Ireland,2018,24.8
Ireland,2019,23.9
Ireland,2020,26.7
Ireland,2021,23.6
Ireland,2022,20.6
Ireland,2023,22.7
Italy,1975,:
Italy,1976,:
Italy,1977,:
Italy,1978,:
Italy,1979,:
Italy,1980,:
Italy,1981,:
Italy,1982,:
Italy,1983,:
Italy,1984,:
Italy,1985,:
Italy,1986,:
Italy,1987,:
Italy,1988,:
Italy,1989,:
Italy,1990,:
Italy,1991,:
Italy,1992,:
Italy,1993,:
Italy,1994,:
Italy,1995,51.4
Italy,1996,51.3
Italy,1997,49.3
Italy,1998,48.0
Italy,1999,47.1
Italy,2000,46.4
Italy,2001,47.1
Italy,2002,46.5
Italy,2003,47.0
Italy,2004,46.7
Italy,2005,47.1
Italy,2006,47.6
Italy,2007,46.6
Italy,2008,47.8
Italy,2009,51.1
Italy,2010,49.8
Italy,2011,49.0
Italy,2012,50.5
Italy,2013,50.9
Italy,2014,50.7
Italy,2015,50.2
Italy,2016,49.0
Italy,2017,48.8
Italy,2018,48.3
Italy,2019,48.4
Italy,2020,56.8
Italy,2021,56.0
Italy,2022,54.9
Italy,2023,53.8
Latvia,1975,:
Latvia,1976,:
Latvia,1977,:
Latvia,1978,:
Latvia,1979,:
Latvia,1980,:
Latvia,1981,:
Latvia,1982,:
Latvia,1983,:
Latvia,1984,:
Latvia,1985,:
Latvia,1986,:
Latvia,1987,:
Latvia,1988,:
Latvia,1989,:
Latvia,1990,:
Latvia,1991,:
Latvia,1992,:
Latvia,1993,:
Latvia,1994,:
Latvia,1995,36.8
Latvia,1996,36.5
Latvia,1997,36.1
Latvia,1998,39.0
Latvia,1999,42.0
Latvia,2000,38.1
Latvia,2001,35.4
Latvia,2002,36.2
Latvia,2003,35.4
Latvia,2004,36.6
Latvia,2005,36.3
Latvia,2006,38.5
Latvia,2007,36.5
Latvia,2008,40.2
Latvia,2009,46.4
Latvia,2010,46.9
Latvia,2011,43.8
Latvia,2012,40.4
Latvia,2013,39.9
Latvia,2014,40.4
Latvia,2015,40.0
Latvia,2016,38.8
Latvia,2017,39.6
Latvia,2018,40.7
Latvia,2019,39.7
Latvia,2020,44.3
Latvia,2021,46.5
Latvia,2022,44.2
Latvia,2023,44.0
Lithuania,1975,:
Lithuania,1976,:
Lithuania,1977,:
Lithuania,1978,:
Lithuania,1979,:
Lithuania,1980,:
Lithuania,1981,:
Lithuania,1982,:
Lithuania,1983,:
Lithuania,1984,:
Lithuania,1985,:
Lithuania,1986,:
Lithuania,1987,:
Lithuania,1988,:
Lithuania,1989,:
Lithuania,1990,:
Lithuania,1991,:
Lithuania,1992,:
Lithuania,1993,:
Lithuania,1994,:
Lithuania,1995,34.4
Lithuania,1996,36.4
Lithuania,1997,50
Lithuania,1998,41.0
Lithuania,1999,40.7
Lithuania,2000,39.4
Lithuania,2001,37.1
Lithuania,2002,35.1
Lithuania,2003,33.6
Lithuania,2004,33.9
Lithuania,2005,34.1
Lithuania,2006,34.4
Lithuania,2007,35.3
Lithuania,2008,38.1
Lithuania,2009,44.8
Lithuania,2010,43.0
Lithuania,2011,40.1
Lithuania,2012,36.6
Lithuania,2013,35.7
Lithuania,2014,35.0
Lithuania,2015,35.2
Lithuania,2016,34.5
Lithuania,2017,33.4
Lithuania,2018,33.7
Lithuania,2019,34.5
Lithuania,2020,42.3
Lithuania,2021,37.3
Lithuania,2022,36.2
Lithuania,2023,37.4
Luxembourg,1975,:
Luxembourg,1976,:
Luxembourg,1977,:
Luxembourg,1978,:
Luxembourg,1979,:
Luxembourg,1980,:
Luxembourg,1981,:
Luxembourg,1982,:
Luxembourg,1983,:
Luxembourg,1984,:
Luxembourg,1985,:
Luxembourg,1986,:
Luxembourg,1987,:
Luxembourg,1988,:
Luxembourg,1989,:
Luxembourg,1990,:
Luxembourg,1991,:
Luxembourg,1992,:
Luxembourg,1993,:
Luxembourg,1994,:
Luxembourg,1995,41.4
Luxembourg,1996,41.7
Luxembourg,1997,41.5
Luxembourg,1998,41.9
Luxembourg,1999,40.2
Luxembourg,2000,38.0
Luxembourg,2001,38.1
Luxembourg,2002,41.8
Luxembourg,2003,43.3
Luxembourg,2004,43.7
Luxembourg,2005,43.4
Luxembourg,2006,39.4
Luxembourg,2007,37.4
Luxembourg,2008,37.9
Luxembourg,2009,42.7
Luxembourg,2010,42.0
Luxembourg,2011,41.5
Luxembourg,2012,41.8
Luxembourg,2013,41.2
Luxembourg,2014,40.6
Luxembourg,2015,40.4
Luxembourg,2016,40.0
Luxembourg,2017,41.3
Luxembourg,2018,42.4
Luxembourg,2019,43.1
Luxembourg,2020,47.0
Luxembourg,2021,42.8
Luxembourg,2022,43.8
Luxembourg,2023,47.9
Malta,1975,:
Malta,1976,:
Malta,1977,:
Malta,1978,:
Malta,1979,:
Malta,1980,:
Malta,1981,:
Malta,1982,:
Malta,1983,:
Malta,1984,:
Malta,1985,:
Malta,1986,:
Malta,1987,:
Malta,1988,:
Malta,1989,:
Malta,1990,:
Malta,1991,:
Malta,1992,:
Malta,1993,:
Malta,1994,:
Malta,1995,39
Malta,1996,41.4
Malta,1997,41.6
Malta,1998,41.2
Malta,1999,41.6
Malta,2000,40.4
Malta,2001,41.7
Malta,2002,41.5
Malta,2003,45.2
Malta,2004,41.8
Malta,2005,42.6
Malta,2006,42.5
