Country Code,Year,Import
ARG,1985,6.3036779377
ARG,1986,7.8079534478
ARG,1987,9.616984406
ARG,1988,8.7947727271
ARG,1989,6.9485563189
ARG,1990,6.7388303682
ARG,1991,13.4159163588
ARG,1992,24.5782620676
ARG,1993,27.7378686631
ARG,1994,35.6818382349
ARG,1995,33.4219450212
ARG,1996,39.4681654371
ARG,1997,50.5775002221
ARG,1998,52.1175317598
ARG,1999,42.3688348179
ARG,2000,41.7805830104
ARG,2001,33.7513495593
ARG,2002,14.9323145928
ARG,2003,22.9781579606
ARG,2004,37.2812889312
ARG,2005,47.6516900564
ARG,2006,56.7261855541
ARG,2007,74.2562910097
ARG,2008,95.4434017204
ARG,2009,64.4228884481
ARG,2010,94.3318661181
ARG,2011,123.443733896
ARG,2012,112.9045760242
ARG,2013,123.6472053771
ARG,2014,109.1852836074
ARG,2015,100.0
ARG,2016,92.7697035309
ARG,2017,111.1817955479
ARG,2018,108.7650527487
ARG,2019,81.5945519313
ARG,2020,70.3496387491
ARG,2021,104.9497550281
ARG,2022,
ARG,2023,
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,
ARM,1991,
ARM,1992,
ARM,1993,
ARM,1994,
ARM,1995,20.8042712709
ARM,1996,26.4197883284
ARM,1997,27.5465963068
ARM,1998,27.8583979783
ARM,1999,24.6878998903
ARM,2000,27.2255332167
ARM,2001,26.9816487497
ARM,2002,30.4762970854
ARM,2003,39.5000223963
ARM,2004,41.6980697492
ARM,2005,55.6210944503
ARM,2006,67.6578734427
ARM,2007,100.8817297398
ARM,2008,136.6401321865
ARM,2009,102.5271781036
ARM,2010,116.7829970503
ARM,2011,127.9714285638
ARM,2012,131.5494298107
ARM,2013,138.2053147778
ARM,2014,135.8776073203
ARM,2015,100.0
ARM,2016,101.0567506319
ARM,2017,129.3287112934
ARM,2018,153.2211888536
ARM,2019,170.2190101445
ARM,2020,140.7522095309
ARM,2021,165.372192244
ARM,2022,
ARM,2023,
ASM,1960,
ASM,1961,
