Country,Year,ED,Expenditure,Irate,Population,Tax,Trade,First_sector_GDP,First_sector_Inv
France,2005,-61537.7929999996,0.29999999999999716,0.05820000000000025,52476.0,44.7,-13612.300000000001,36094.7,12988.7
France,2006,-105589.33899999969,-0.5,1.1031999999999997,-23864.0,45.1,-9136.300000000001,36457.2,13146.4
France,2007,-113755.7650000006,-0.19999999999999574,1.0140000000000002,-41335.0,44.6,-8188.599999999999,36297.5,14186.0
France,2008,74133.42700000014,0.6999999999999957,0.37599999999999945,-53302.0,44.5,-7116.0,37503.8,14898.8
France,2009,-258250.7349999994,3.700000000000003,-3.2156999999999996,-19095.0,44.1,7091.5,39337.9,12892.8
France,2010,176128.90199999977,-0.29999999999999716,-0.2570000000000001,-34403.0,44.2,-10191.100000000002,38184.6,11883.1
France,2011,-153009.82600000035,-0.7000000000000028,0.6545000000000001,11235.0,45.3,-12853.399999999998,39744.8,13170.6
France,2012,158484.90500000026,0.8999999999999986,-0.8936,-21603.0,46.5,11719.7,36376.5,14441.0
France,2013,96583.93499999959,0.7000000000000028,-0.5782,25105.0,47.4,6289.0999999999985,35545.1,14131.3
France,2014,-419919.53199999966,-0.20000000000000284,-0.06090000000000001,242263.0,47.6,-1913.5,40636.6,13450.2
France,2015,146319.45500000007,-0.7999999999999972,-0.3074,-273457.0,47.7,12822.0,40358.7,12808.3
France,2016,45274.41500000004,-0.20000000000000284,-0.2026,-111935.0,47.7,-5138.6,35359.3,12200.3
France,2017,-15199.29600000009,0.30000000000000426,-0.1103,-8813.0,48.5,-9966.300000000001,38090.6,11993.5
France,2018,-102514.53199999966,-1.3000000000000043,-0.02779999999999999,44983.0,48.3,-5063.899999999998,39471.1,13184.8
France,2019,-7693.174000000581,-1.1000000000000014,-0.044300000000000006,47839.0,47.3,6953.9,38548.6,13199.0
France,2020,-601130.5120000001,6.400000000000006,-0.08840000000000003,-81067.0,47.4,-24171.5,35860.4,13093.3
France,2021,454754.94600000046,-2.200000000000003,-0.18489999999999995,71737.0,46.9,9569.600000000002,34457.1,14137.0
France,2022,-370727.70800000057,-1.1000000000000014,1.5902999999999998,108218.0,47.6,-43487.8,36662.3,14559.8
France,2023,-117861.41399999987,-1.3999999999999986,2.765,-177628.0,45.6,17460.800000000003,38041.2,14060.8
Germany,1994,,53.041466946575184,,,,,34229.76029787105,
Germany,1995,219632.29900000058,55.2,0.29000000000000004,200510.0,-0.22393377120773295,4917.4,34711.3,474.4562888197761
Germany,1996,392172.466,49.6,-2.0,278896.0,0.29999999999999716,5973.9,32545.4,-637.1999999999989
Germany,1997,-93990.1950000003,48.8,-0.6875,194663.0,0.0,6974.6,33014.4,-970.9000000000015
Germany,1998,-14600.069000000134,48.3,-0.5133999999999999,45217.0,0.10000000000000142,3371.4000000000015,33089.2,627.1000000000004
Germany,1999,-272697.54700000025,48.5,-0.7225000000000001,-20368.0,0.6999999999999957,-12169.900000000001,34646.700000000004,139.20000000000073
Germany,2000,-3358.8819999992847,48.1,1.6056999999999997,126464.0,-0.19999999999999574,-7699.0,34097.2,-279.39999999999964
Germany,2001,296724.41899999976,47.7,-0.7027999999999999,96065.0,-1.8999999999999986,30755.0,30356.6,-273.90000000000146
Germany,2002,-249951.52999999933,48.2,-0.5935999999999999,180769.0,-0.4000000000000057,55725.0,31267.7,-145.79999999999927
Germany,2003,-56572.55300000124,48.5,-1.1587,96371.0,0.30000000000000426,-8866.0,31043.9,-967.3999999999996
Germany,2004,95924.18800000101,47.0,-0.05929999999999991,-5009.0,-0.8999999999999986,32682.0,37221.5,133.1999999999989
Germany,2005,-37984.38800000027,46.9,0.05820000000000025,-30822.0,0.0,1372.0,28196.5,1515.6000000000004
Germany,2006,321429.4729999993,45.3,1.1031999999999997,-62854.0,0.19999999999999574,10472.0,28205.3,1592.1000000000004
Germany,2007,-689860.1569999997,43.5,1.0140000000000002,-123089.0,0.10000000000000142,36773.0,28529.0,-291.60000000000036
Germany,2008,270999.506000001,44.4,0.37599999999999945,-97069.0,0.3999999999999986,-12663.0,31782.1,1238.8999999999996
Germany,2009,-546584.9740000013,48.3,-3.2156999999999996,-215481.0,0.3999999999999986,-30819.0,30582.1,-1192.699999999999
Germany,2010,526392.5320000015,48.1,-0.2570000000000001,-200099.0,-1.5,14561.0,30171.7,-1257.800000000001
Germany,2011,-462587.7320000008,45.3,0.6545000000000001,-1580192.0,0.5,-179.0,30706.9,1892.5
Germany,2012,15474.476999999955,45.1,-0.8936,105835.0,0.7000000000000028,35721.0,30615.3,-620.6999999999989
Germany,2013,330804.31200000085,45.2,-0.5782,195846.0,0.29999999999999716,-3537.0,29366.7,-113.5
Germany,2014,-476738.966,44.5,-0.06090000000000001,243717.0,-0.09999999999999432,29628.0,32391.9,98.10000000000036
Germany,2015,77947.4579999987,44.5,-0.3074,430074.0,0.3999999999999986,33725.0,29080.5,-680.8000000000011
Germany,2016,111217.2809999995,44.7,-0.2026,978147.0,0.3999999999999986,3256.0,29886.9,-591.5
Germany,2017,217195.11800000072,44.6,-0.1103,345969.0,0.20000000000000284,3885.0,31159.2,97.10000000000036
Germany,2018,-193082.5089999996,44.7,-0.02779999999999999,270698.0,0.5,-30594.0,27337.5,-144.10000000000036
Germany,2019,58612.36999999918,45.6,-0.044300000000000006,226862.0,0.19999999999999574,-6099.0,29575.7,111.0
Germany,2020,-459271.31799999997,51.1,-0.08840000000000003,147498.0,-0.10000000000000142,-14941.0,29556.0,-283.39999999999964
Germany,2021,195667.41800000146,50.7,-0.18489999999999995,-11680.0,0.8000000000000043,5266.0,32937.9,-26.0
Germany,2022,-352462.31700000167,49.0,1.5902999999999998,82093.0,-0.3999999999999986,-90928.0,33515.6,278.60000000000036
Germany,2023,-622499.7879999988,48.4,2.765,-118623.0,-1.4000000000000057,68932.0,33346.8,-155.89999999999964
Greece,1994,,,,,,,,
Greece,1995,2727.73199999996,0.8438389781121032,0.29000000000000004,,0.06408854433769662,904.1282692777868,,4.615835861426035
Greece,1996,36287.978,-0.5,-2.0,,0.3999999999999986,-1576.1999999999998,29.80890834485399,108.5
Greece,1997,20191.424,-1.0,-0.6875,-17681.0,1.3000000000000007,995.6000000000004,503.9999999999982,203.4999999999999
Greece,1998,39283.16500000004,1.6000000000000014,-0.5133999999999999,34472.0,1.4000000000000021,-3670.800000000001,171.8000000000029,71.40000000000009
